RUBRO,NOMBRE FANTASIA,DIRECCION,N§,LOCALIDAD,DEPARTAMENTO,TELEFONOS,CLASE,CATEGORIA,ESTADO,HABIT.,PLAZAS,TITULAR,E-MAIL
HOTEL,"PARK HYATT MENDOZA, HOTEL, CASINO & SPA",CHILE,1124,CIUDAD,CAPITAL,4411234/5,HOTEL,5 ESTRELLAS,INSCRIPTO,186,367,NUEVO PLAZA HOTEL MENDOZA S.A.,phmendoza@hyattintl.com www.mendoza.park.hyatt.com
HOTEL,CERVANTES,AMIGORENA,,CIUDAD,CAPITAL,5200446/5200400,HOTEL,3 ESTRELLAS,INSCRIPTO,60,150,CERVANTES S.A.C.I.A,reservas@hotelcervantes.com.ar
HOTEL,GRAND HOTEL BALBI,AV.LAS HERAS,340,CIUDAD,CAPITAL,4233500/3610/3442,HOTEL,3 ESTRELLAS,INSCRIPTO,108,250,"TUBERT, AARON S.A.",reservas@hotelbalbi.com.ar
CABA¥AS,LA HORQUETA,RUTA 173,KM10,CA¥ON DEL ATUEL,SAN RAFAEL,156643802,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,29,114,"TOLEDO, SANTIAGO BENJAMIN",horqueta@infovia.com.ar
ALOJAMIENTO,CASITA SUIZA,LAS HERAS,S/N,USPALLATA,LAS HERAS,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"MOLINA, RODRIGO",
HOTEL,ARIOSTO,I.M.DE SAN MARTIN,48,CIUDAD,CAPITAL,4293051,HOTEL,3 ESTRELLAS,INSCRIPTO,40,100,"ARIOSTO, PEDRO PABLO",hotelarisoto@pabloariosto.com - ariosto@infov¡a.com.ar
HOTEL,RITZ,PERU,1008,CIUDAD,CAPITAL,4235115,HOTEL,3 ESTRELLAS,INSCRIPTO,36,102,GRUPO Q S.A.,info@ritzhotelmendoza.com.ar www.ritzhotelmendoza.com.ar
CABA¥AS,ALTOS DEL VALLE,AV.DEL SOL,S/N,POTRERILLOS,LUJAN DE CUYO,4293153-155089105-155081246,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,4,32,"SUAREZ, GALLINA",altosdelvalle@hotmail.com
DISPONIBLE,DISPONIBLE,,,,,,,,,,,,
HOTEL,NUEVO HOTEL SAN FRANCISCO,PUEYRREDON,2665,CHACRAS DE CORIA,LUJAN DE CUYO,4960110,HOTEL,3 ESTRELLAS,INSCRIPTO,38,76,BROTHERHOOD S.A,hotelsanfranciscochacras@gmail.com
ALOJAMIENTO,HOSTEL KATMANDU,RUFINO ORTEGA,158,CIUDAD,MALARGUE,260-4414899,ALOJAMIENTO,SIN CATEGORIZAR,E/T,9,20,"SAVEDRA, AMANDA LAURA",asavedra08@gmail.com
HOTEL,MILENA,PJE.BABILONIA,17,CIUDAD,CAPITAL,4200284/4202490,HOTEL,2 ESTRELLAS,INSCRIPTO,20,50,"ZANGOLI, MILENA",hotelmilena@speedy.com.ar www.milenahotel.com.ar
ALOJAMIENTO,CITY,GRAL.PAZ,95,CIUDAD,CAPITAL,0261-4252572,ALOJAMIENTO,SIN CATEGORIZAR,E/T,21,56,"VAZQUEZ, ANALIA",nuevohotelcity@gmail.com
HOSPEDAJE,WINDSOR,NECOCHEA,675,CIUDAD,CAPITAL,4230855,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,18,40,"ZOGBI, DAVID PAULO",windsorhotelmendoza@gmail.com
HOTEL,ACONCAGUA,SAN LORENZO,545,CIUDAD,CAPITAL,5200500,HOTEL,4 ESTRELLAS,INSCRIPTO,159,320,SUNSET PORT. S.A.,info@raicesdelpalta.com
ALOJAMIENTO,SAN JOSE,PASO DE LOS ANDES,125,CIUDAD,GRAL.ALVEAR,02625-423184,ALOJAMIENTO,SIN CATEGORIZAR,E/T,10,24,"GALERA, SILVIA JOSEFA",
HOTEL,MARINA REAL,9 DE JULIO,1550,CIUDAD,CAPITAL,4380522/4381492,HOTEL,1 ESTRELLA,INSCRIPTO,70,140,MARINA REAL S.A. (APODERADO ALFONSO ALONSO),marinareal@infovia.com.ar
HOSPEDAJE,CASA DEL MAESTRO,PELLEGRINI,40,CIUDAD,SAN RAFAEL,0260-4422474,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,9,24,"NIETO, ROSA BURGOS (REPRESENTANTE)",
HOTEL,AMERICA,AV.JUAN B.JUSTO,812,CIUDAD,CAPITAL,4256514,HOTEL,2 ESTRELLAS,INSCRIPTO,36,100,VISIGIRO SRL,info@hotelamericamza.com.ar
HOTEL,ALBERDI,ALBERDI,55,CIUDAD,CAPITAL,4234110-4257022,HOTEL,1 ESTRELLA,INSCRIPTO,18,45,"ZAPATERO, BIENVENIDO SUCES.",
ALOJAMIENTO,VIENA,LAS HERAS,240,USPALLATA,LAS HERAS,,SIN CATEGORIZAR,,,10,20,"TKACZEK,PRàSPERO",
APART-HOTEL,GEMINIS,RUTA 222,,LAS LE¥AS,MALARGUE,011-43938031,APART-HOTEL,1 ESTRELLA,INSCRIPTO,34,110,ALTA MONTA¥A S.A.,
HOTEL,SAN MARTIN,ESPEJO,435,CIUDAD,CAPITAL,43800875,HOTEL,3 ESTRELLAS,INSCRIPTO,37,93,SAN MARTIN S.R.L.,hotelsanmartinmendoza@gmail.com
HOTEL,ROSARIO,CHILE,1579,CIUDAD,CAPITAL,4254765,HOTEL,2 ESTRELLAS,INSCRIPTO,32,80,"MANONI,PRIMITO",resevas@hotelrosariomendoza.com.ar
HOTEL,CAROLLO,25 DE MAYO,1184,CIUDAD,CAPITAL,4235666,HOTEL,3 ESTRELLAS,INSCRIPTO,50,115,"MURATTI, CLAUDIO-SERVICIOS TURÖSTICOS S.R.L",reservas@hotelcarollo.com
HOTEL,PANAMERICANO,ADOLFO CALLE,895,DORREGO,GUAYMALLEN,4312226/4312168,HOTEL,2 ESTRELLAS,INSCRIPTO,20,42,"SCARFICCIA, DARIO",info@hotelpanamericanomz.com.ar www.hotelpanamericanomz.com.ar
CABA¥AS,EL PARAISO DEL VALLE,RUTA 173,KM.24,VALLE GRANDE,SAN RAFAEL,0260-4420634-154661331,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,2,12,"SAMOS, ROSA ESTHER Y BALDINI ARDUINO",
HOTEL,GRAN HOTEL USPALLATA,RUTA 7,KM.1149,USPALLATA,LAS HERAS,02624-420003/066/067,HOTEL,3 ESTRELLAS,INSCRIPTO,76,220,ALTA TECNOLOGIA ALIMENTARIA S.A.,recepcionuspa@atahoteleria.com.ar www.atahoteleria.com.ar
HOTEL,CRISTAL,RIOJA,1776,CIUDAD,CAPITAL,4234696-4255579,HOTEL,1 ESTRELLA,INSCRIPTO,22,45,"QUINTEROS, EDUARDO",hotelcristal1776@hotamil.com
HOTEL,CASINO,GUTIERREZ,688,CIUDAD,CAPITAL,4256666,HOTEL,1 ESTRELLA,INSCRIPTO,16,40,"ORTIZ, MIGUEL",nuevohotelcasino@hotmail.com
HOTEL,PROVINCIAL,BELGRANO,1259,CIUDAD,CAPITAL,4231477,HOTEL,3 ESTRELLAS,INSCRIPTO,36,73,"SCAFATI DE BARBERO, ELSA",info@hotelprovincialmza.com.ar - www.hotelrpovincialmza.com
HOSPEDAJE,DERBY,PATRICIAS MENDOCINAS,1643,CIUDAD,CAPITAL,4290827,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,28,80,"SALPIETRO, MARIA Y.",mpiamolgatini@gmail.com
ALOJAMIENTO,AVENIDA,25 DE MAYO,1564,CIUDAD,LA PAZ,0623-15522293,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"OJEDA, DELIA DOLORES",
HOTEL,SAN REMO,AV.GODOY CRUZ,477,CIUDAD,CAPITAL,4234068,HOTEL,2 ESTRELLAS,INSCRIPTO,39,94,"CALA, FRANCISCO",sanremohotel@ciudad.com.ar
CABA¥AS,ARCO IRIS,PIEDRAS BLANCAS,S/N,POTRERILLOS,LUJAN DE CUYO,02624-481062,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,3,18,"MARCHETTA, M.CRISTINA ROCCA DE",gabmarch@yahoo.com
CABA¥AS,MOTEL ZURI,RUTA PANAMERICANA,KM30,COLONIA SUIZA,LUJAN DE CUYO,156521706,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,10,20,"GOOD, JOSEF RENE",
HOTEL,NUTIBARA,AV.MITRE,867,CIUDAD,CAPITAL,4295428,HOTEL,3 ESTRELLAS,INSCRIPTO,51,110,NUTIBARA S.R.L.,nutibara@lanet.com.ar www.nutibara.com.ar
HOTEL,PUELCHES,CANADA,85,CIUDAD,SAN RAFAEL,0260-4431536,HOTEL,2 ESTRELLAS,INSCRIPTO,25,85,"FERNANDEZ, RODOLFO Y SALVADOR",hotelpuelches@hotmail.com
ALOJAMIENTO,THE VINES RESORT AND SPA,RUTA 94,KM.1149,LOS SAUCES,TUNUYAN,4613910,ALOJAMIENTO,SIN CATEGORIZAR,E/T,30,60,VINES MANAGEMENT S.R.L.,
ALOJAMIENTO,MOLINO LATABAIDA,SOLDADO DE LA INDEPENDENCIA,650,CIUDAD,SAN MARTIN,0263-4422952,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,ARALANDO S.A.,info@molinotebaida.com
HOTEL,CRILLON,PERU,1065,CIUDAD,CAPITAL,4295161-4298494,HOTEL,3 ESTRELLAS,INSCRIPTO,68,144,HOTEL CRILLON SRL,admin@hcrillon.com.ar www.hcrillon.com.ar
ALOJAMIENTO,COLORINA,CANADA,335,CIUDAD,SAN RAFAEL,0260-4437397/4447539,AOLJAMIENTO,SIN CATEGORIZAR,E/T,28,138,COLORINA S.R.L.,colorinaspa@gmail.com
HOTEL,SAN PEDRO,BULOGNE SUR MER,1050,CIUDAD,SAN MARTIN,02623-427400/420347,HOTEL,2 ESTRELLAS,INSCRIPTO,27,64,SAN ANDRES S.A.,
HOTEL,VILLA INES,SOBREMONTE,648,CIUDAD,CAPITAL,4200968/4258019,HOTEL,2 ESTRELLAS,INSCRIPTO,21,56,"VIDAL DE VELAZCO, LIDIA",hotelvillainesmza@yahoo.com.ar - lidiavidal@infovia.com.ar
HOTEL,NIVENTUS,AMIGORENA,36,CIUDAD,CAPITAL,4200035,HOTEL,3 ESTRELLAS,INSCRIPTO,50,112,RECREATUR TURISMO S.A.,info@hotelniventus.com.ar www.hotelniventus.com.ar
ALOJAMIENTO,LA POLLAZA,RUTA NAC. 144,"KM.672,5",CUADRO BENEGAS,SAN RAFAEL,0260-154610353,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,30,"MEDINA, JOSE MIGUEL",
ALOJAMIENTO,CABA¥AS COCO,RUTA PROV.82,KM29,LAS COMPUERTAS,LAS HERAS,4106685,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,17,"ROSAS, HILARIA VALENTINA",
HOTEL,NUEVO CASTILLO,GUTIERREZ,572,CIUDAD,CAPITAL,4231766,HOTEL,1 ESTRELLA,INSCRIPTO,20,50,"VIAJANDE, GERMAN LUCIANO",gviajande@gmail.com
HOTEL,CASTELAR,GUTIERREZ,598,CIUDAD,CAPITAL,4234245,HOTEL,2 ESTRELLAS,INSCRIPTO,18,45,"SAT, EMILIA NURIMAR",hotelcastelar@itcsa.net www.hotelcastelarmza.com.ar
APART-HOTEL,URBANA SUITES,25 DE MAYO,1590,CIUDAD,CAPITAL,4340333,APART-HOTEL,2 ESTRELLAS,INSCRIPTO,27,60,APART URBANA S.A EN FORMACION,gerencia@urbanasuites.com.ar w.w.w.urbanasuites.com.ar
ALOJAMIENTO,COMPLEJO LA PIEDRA,BELTRAN,S/N,EL NIHUIL,SAN RAFAEL,0260-4438320,ALOJAMIENTO,SIN CATEGORIZAR,E/T,1,6,"MARTINEZ, EDUARDO ARMANDO",
HOTEL,INTERNACIONAL,SARMIENTO,720,CIUDAD,CAPITAL,4255600,HOTEL,4 ESTRELLAS,INSCRIPTO,56,120,LOURDES S.A.I.C.A.E.I.,reservas@hinternacional.com.ar www.hinternacionalcom.ar
ALOJAMIENTO,PUERTA DEL SOL,GARIBALDI,82,CIUDAD,CAPITAL,4204820,ALOJAMIENTO,SIN CATEGORIZAR,E/T,77,174,"COOP.LUZ Y FUERZA DE CREDITO, CONSUMO Y VIVIENDA LTDA.",reservas@hotelpuertadelsol.com.ar
HOSTERIA,LOS CONDORES,LAS HERAS,S/N,USPALLATA,LAS HERAS,4611409 - 02624-420002,HOSTERIA,1 ESTRELLA,INSCRIPTO,13,45,"SUTER, ALEJANDRA EUGENIA",rmolina@uspallatadigital.com.ar www.hostalloscondores.com.ar
