RUBRO,NOMBRE DE FANTASIA,CALLE,NRO.,LOCALIDAD,DEPARTAMENTO,DIRECCION COMPLETA,Latitude,Longitude,TELEFONOS,RES.,PROPIETARIO
RESTAURANTE,GOVINDA,AV.COLON,424,CIUDAD,CAPITAL,AV.COLON 424 CIUDAD CAPITAL,-32.89412360,-68.84611880,,E/T,GOVINDA S.A.
BAR,ENTRETENIMIENTOS AVENIDA,AV.SAN MARTIN,950,CIUDAD,CAPITAL,AV.SAN MARTIN 950 CIUDAD CAPITAL,-32.89222240,-68.84011070,4200733,187/05,ENTRETENIMIENTOS AVENIDA S.R.L.
CAFETERIA,MIKELINOS,ENTRE RIOS,1685,CIUDAD,SAN RAFAEL,ENTRE RIOS 1685 CIUDAD SAN RAFAEL,37.97353460,-122.53108740,0260-4427448,584/11,"REINA DE BONICELLI, EDITH PERLA"
PARRILLADA,MI QUINCHO,BRANDSEN,36,CIUDAD,TUNUYAN,BRANDSEN 36 CIUDAD TUNUYAN,-33.57698200,-69.01620630,02622-423668,114/96,"PERELLO, JOSE SALVADOR"
HELADERIA,FIRENZE,URUGUAY Y COSTANERA,N/T,SAN JOSE,GUAYMALLEN,URUGUAY Y COSTANERA N/T SAN JOSE GUAYMALLEN,-32.88852470,-68.82367540,,293/92,"SOSA,OSVALDO S."
RESTAURANTE,LA MIRA,BELGRANO,1191,CIUDAD,CAPITAL,BELGRANO 1191 CIUDAD CAPITAL,-32.88800090,-68.84817880,4203000,871/13,"BALAGUER, JUAN ANTONIO"
CAFETERIA,EL HORNERO,AV.SAN MARTIN,1823,CIUDAD,CAPITAL,AV.SAN MARTIN 1823 CIUDAD CAPITAL,-32.90610400,-68.84345300,4257874,E/T,"ORTIZ, NELIDA MARIA"
CARRITO-BAR,DON FORTUNA,SARMIENTO,1200,CIUDAD,GUAYMALLEN,SARMIENTO 1200 CIUDAD GUAYMALLEN,-32.90282080,-68.80470040,,N/T,"FORTUNA,RAUL JOSE"
HELADERIA,HELADERIA PERIN,AV.SARMIENTO,799,CIUDAD,CAPITAL,AV.SARMIENTO 799 CIUDAD CAPITAL,-32.88861800,-68.84940220,4257624,77/15,PERIN EMPRENDIMIENTOS S.A.
HELADERIA,FERRUCCIO SOPPELSA,BELGRANO,1092,CIUDAD,CAPITAL,BELGRANO 1092 CIUDAD CAPITAL,-32.88886350,-68.84966870,4255750,N/T,FERRUCCIO SOPPELSA S.R.L.
CAFETERIA,HAVANNA,PELLEGRINI ESQUINA DAY,,CIUDAD,SAN RAFAEL,PELLEGRINI ESQUINA DAY CIUDAD SAN RAFAEL,-36.26784220,-63.16458570,0260-4420144,E/T,"GARCIA, ANA SILVINA"
BAR,LOBY BAR,AV.SAN MARTIN,366,CIUDAD,CAPITAL,AV.SAN MARTIN 366 CIUDAD CAPITAL,-32.92029800,-68.84743290,4243836,519/10,LOS RIELES S.A.
RESTAURANTE,DON OTTO,AV.LAS HERAS,242,CIUDAD,CAPITAL,AV.LAS HERAS 242 CIUDAD CAPITAL,-32.88582300,-68.84134110,155891121,979/13,DEL S.A.
HELADERIA,CHINI,AV.LAS HERAS,202,CIUDAD,CAPITAL,AV.LAS HERAS 202 CIUDAD CAPITAL,-32.88597240,-68.84103460,4255792,E/T,CHINI S.A.
CARRITO-BAR,VIA VENETO,AMIGORENA,78,CIUDAD,CAPITAL,AMIGORENA 78 CIUDAD CAPITAL,-32.89183680,-68.83867930,4291580,N/T,"CONTE,LEONARDO Y NICOLAS Y GARGIULO A."
CONFITERIA,VIKINGOS,JOSE HERNANDEZ,35,CIUDAD,RIVADAVIA,JOSE HERNANDEZ 35 CIUDAD RIVADAVIA,-31.52716350,-68.59830080,,270/83,"NEGRI, VICTOR"
CARRITO-BAR,PIAMONTE,AV.SAN MARTIN,601,CIUDAD,GODOY CRUZ,AV.SAN MARTIN 601 CIUDAD GODOY CRUZ,-32.91796000,-68.84633500,4249391,341/05,"VIDAL, GUILLERMO"
PIZZERIA,CAPRI,LAVALLE,109,CIUDAD,CAPITAL,LAVALLE 109 CIUDAD CAPITAL,-32.88870690,-68.83662000,4230262,473/97,CAPRI S.R.L. (LUIS FERNANDO SCACCIA)
SANDWICHERIA,EL CONDOR,RAWSON,17,CIUDAD,SAN RAFAEL,RAWSON 17 CIUDAD SAN RAFAEL,37.97353460,-122.53108740,0260-154551340,233/02,"ARENAS, LUIS A."
RESTAURANTE,PATIO DE COMIDAS TAC LTDA.,TERMINAL DEL SOL P.ALTA NORTE,S/N,CIUDAD,GUAYMALLEN,TERMINAL DEL SOL P.ALTA NORTE S/N CIUDAD GUAYMALLEN,-32.89489780,-68.82907250,4312860,553/96,COOP.TAC LTDA. HUGO ANDINO (APODERADO)
RESTAURANTE,LA PIZZA,AV.SARMIENTO,781,CIUDAD,CAPITAL,AV.SARMIENTO 781 CIUDAD CAPITAL,-32.88867500,-68.84918100,4340244,E/T,"MARTINEZ, ADRIAN CARMELO"
CAFETERIA,MITRE,AV.MITRE,1967,CIUDAD,CAPITAL,AV.MITRE 1967 CIUDAD CAPITAL,-32.87999840,-68.84165930,,316/05,"FERNANDEZ, PURA DEL BALLE"
RESTAURANTE,LOS PARRALES,25 DE MAYO,817,CIUDAD,CAPITAL,25 DE MAYO 817 CIUDAD CAPITAL,-34.69297870,-58.73431060,4204499,N/T,HOTEL ACONCAGUA LEG.15
RESTAURANTE,BETEC,RUTA 7,S/N,USPALLATA,LAS HERAS,RUTA 7 S/N USPALLATA LAS HERAS,-32.60163020,-69.35134280,4255726,539/09,"MONETTI, ROBERTO"
RESTAURANTE,EL GRAN POLLO,PUEYRREDON,17,CIUDAD,SAN RAFAEL,PUEYRREDON 17 CIUDAD SAN RAFAEL,-34.60245480,-68.33472810,0260-4428754,225/01,"MALANO, HERMES DANIEL"
CAFETERIA,CAF BAMAC,AV.SAN MARTIN,1425,GAL.BAMAC,CAPITAL,AV.SAN MARTIN 1425 GAL.BAMAC CAPITAL,-34.60664530,-58.44956240,4257198,297/11,"RAMOS, EDUARDO JAVIER"
RESTAURANTE,348 FOOD & DRINKS,SAN LORENZO,348,CIUDAD,CAPITAL,SAN LORENZO 348 CIUDAD CAPITAL,-32.89316054,-68.84471968,4295082,490/08,"DE SIMONE, PABLO SEBASTIAN"
CAF,ALTO ALAMEDA,AYACUCHO,22,,CAPITAL,AYACUCHO 22 CAPITAL,-13.16387370,-74.22356410,4303925,212/00,"GUTIERREZ, MARCEL Y OTROS"
