nombre_bodega;direccion_bodega;direccion_numero_bodega;localidad_direccion_bodega;departamento_direccion_bodega;telefono_bodega;titular_bodega;correo_contacto_bodega
VISTANDES BODEGAS &VI•EDOS;RUTA 60 Y URQUIZA;;CRUZ DE PIEDRA;MAIPU;5246214;VISTANDES S.A.;info@vistande.com
BODEGA NAVARRO CORREAS;CARRIL RODRIGUEZ PE•A;1550;;GODOY CRUZ;4315988;DIAGEO ARGENTINA S.A.;
BODEGA DON BOSCO;RUTA PROVINCIAL 50;6722;RODEO DEL MEDIO;MAIPU;4951120;INSTITUCION SALESIANA SAN FRANCISCO SOLANO;
BENVENUTO DE LA SERNA;ESPA•A;850;CAPITAL;CAPITAL;4200782;CALLE DI BOASI S.A.;
BODEGAS LOPEZ;OZAMIS;375;GRAL.GUITIERREZ;MAIPU;4972406;BODEGASY VI•EDOS LOPEZ SAIC;lopezmza@bodegaslopez.com.ar
PIATTELLI VINEYARDS;COBOS;S/N;AGRELO;LUJAN DE CUYO;;ARTEL INC;florenciaberengua@gmail.com
BODEGA MELIPAL;RUTA 7 KM.1056;;AGRELO;LUJAN DE CUYO;5248040;VI•AS FAMILIA ARISTI S.A.;info@bodegamelipal.com
BODEGA Y VI•EDO FAMILIA GIAQUINTA;CARRIL ZAPATA;S/N;LA ARBOLEDA;TUPUNGATO;02622-488090;GIAQUINTA HNOS. S.R.L.;info@familiagiaquinta.com.ar
PULENTA ESTATE;RUTA 86;KM.6,5;ALTO AGRELO;LUJAN DE CUYO;4200800;BODEGAS Y VI•EDOS HUGO Y EDUARDO PULENTA S.A.;info@pulentaestate.com
BODEGAS SALENTEIN/KILLKA;RUTA 89;S/N;LOS ARBOLES;TUNUYAN;4411000;BODEGAS SALENTEIN;
OSCAR ALBERTO CECCHIN;MANUEL A.SAENZ;626;RUSSEL ;MAIPU;4976707;CECCHIN, OSCAR ALBERTO;
BODEGA TAPIZ;RUTA 15 KM.32;;AGRELO;LUJAN DE CUYO;4900202;FINCAS PATAGONICAS S.A.;turismo@tapiz.com.ar
BODEGA SEPTIMA;RUTA 7 KM.6,5;;AGRELO;LUJAN DE CUYO;4989550;CODORNIU ARGENTINA S.A.;septimaturismo@codorniu.com
BODEGA ANDELUNA;RUTA PROV.89;S/N;;TUPUNGATO;155103284;ANDELUNA CELLAR S.R.L.;turismo@andeluna.com.ar
TUPUNGATO DIVINO;LOS EUROPEOS;S/N;GUALTALLARY;TUPUNGATO;153170056;VIEGAS, SERGIO;
BODEGA IACCARINI;ZARDINBI;5705;LAS PAREDES;SAN RAFAEL;0260-154481300;FINCA DON NICASIO S.A.;
