FID,the_geom,ID,LOCALIDAD,DISTRITO,DEPTO,C_POSTAL,DIST_MZA,POB_1980,POB_1991,POB_2001,POB_2010
localidades.1,POINT (-69.8295507706639 -36.660640567181126),33,Ranquil Norte,Río Barrancas,Malargüe,5611,614,,,,0
localidades.2,POINT (-69.80614705625842 -35.866364837218036),29,Bardas Blancas,Río Grande,Malargüe,5611,502,,,63,67
localidades.3,POINT (-70.20327308716953 -35.14227308861101),107,Valle Hermoso,Ciudad de Malargüe,Malargüe,5612,472,,,,0
localidades.4,POINT (-69.04187287074802 -33.775874437115405),95,Ciudad de San Carlos,Ciudad de San Carlos,San Carlos,5569,104,1826,2712,3262,3458
localidades.5,POINT (-68.61661750449333 -33.18525626037075),164,Medrano (R),Medrano (R),Rivadavia,5585,49,,1526,1748,1853
localidades.6,POINT (-68.46247489213654 -33.19399584528239),109,Ciudad de Rivadavia,Ciudad de Rivadavia,Rivadavia,5577,60,14901,21770,26792,28400
localidades.7,POINT (-68.31420957132002 -33.281318921153805),88,La Central,La Central,Rivadavia,5579,80,272,755,823,872
localidades.8,POINT (-68.7900058211223 -32.97738656579569),110,Ciudad de Maipú,Ciudad de Maipú,Maipú,5515,15,,71603,89433,94799
localidades.9,POINT (-68.66621844798205 -32.58916371893665),111,Jocolí (L),Jocolí,Lavalle,5543,42,,,549,582
localidades.10,POINT (-69.34656011351548 -32.59239282217625),80,Uspallata,Uspallata,Las Heras,5545,105,1294,2932,3437,3643
localidades.11,POINT (-68.48305801934997 -33.1024564925272),47,La Colonia (J),La Colonia,Junín,5570,43,4148,6757,9282,9839
localidades.12,POINT (-68.64944545743535 -33.00744601108606),101,Fray Luis Beltrán,Fray Luis Beltrán,Maipú,5531,24,1160,2564,4210,4463
localidades.13,POINT (-69.15463134965744 -33.30126142504398),114,San José (T),San José (T),Tupungato,5561,63,220,896,1487,1576
localidades.14,POINT (-69.13867212167888 -33.34912606101051),1,Villa Bastías,Villa Bastías,Tupungato,5561,70,635,,,0
